"News management", "Управление новостями"
"New entry", "Новая запись"
"News information", "Информация о записи"
"Edit news entry '%s'", "Редактирование новости '%s'"
"Add news entry", "Добавление новости"
"Title", "Заголовок"
"Article", "Новость"
"Content", "Содержание"
"Shorten", "Сокращенная новость"
"Use shorten", "Использовать сокращенную версию"
"Use shorten s", "Исп. сокр."
"Shorten article", "Сокращенная новость"
"URL", "URL адресс"
"Is published", "Опубликовано"
"Is published s", "Опубл."
"Created", "Создано"
"Manage news", "Управление новостями"
"Add news entry", "Добавить новость"
"News management", "Управление новостями"
"Yanws settings", "Настройки Yanws"
"Sidebar widget", "Боковой виджет"
"News feed", "Лента новостей"
"Titles", "Заголовки"
"Feed title", "Заголовок ленты новостей"
"Widget title", "Заголовок виджета"
"Show sidebar widget", "Показывать боковой виджет"
"Save html tags in articles", "Сохранять html-тэги в выводе статей"
"Force truncate articles", "Принудительно урезать статьи"
"Force truncate news entries, even if there's a manually written shorten version.", "Принудительно урезать статьи, даже если есть вручуню введенная укороченная версия."
